N	Speaker ID	Task	Evaluation	Target	Response	Hit	Correct	Target Utterance	Responsed Utterance	Number of Syllables	TargetC	TargetV	RespC	RespV	TargetCManner	TargetCVoice	TargetCPlace	RespCanner	RespVoice	RespPlace	CorrC	CorrV	CorrManner	CorrVoice	CorrPlace	
10	CA016	QL1	H36	ko	ko	C	1	ko pa di	ko pa di	3	k	o	k	o	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
11	CA016	QL1	H36	pa	pa	C	1	ko pa di	ko pa di	3	p	a	p	a	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
12	CA016	QL1	H36	di	di	C	1	ko pa di	ko pa di	3	d	i	d	i	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
13	CA016	QL1	H36	li	li	C	1	li ga	li ga	2	l	i	l	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
14	CA016	QL1	H36	ga	ga	C	1	li ga	li ga	2	g	a	g	a	Ocl	Voiced	back	Ocl	Voiced	back	1	1	1	1	1	
15	CA016	QL1	H36	be	be	C	1	be yo lu	be yo lu	3	b	e	b	e	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
16	CA016	QL1	H36	yo	yo	C	1	be yo lu	be yo lu	3	y	o	y	o	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
17	CA016	QL1	H36	lu	lu	C	1	be yo lu	be yo lu	3	l	u	l	u	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
18	CA016	QL1	H36	so	so	C	1	so te to	so te to	3	s	o	s	o	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
19	CA016	QL1	H36	te	te	C	1	so te to	so te to	3	t	e	t	e	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
20	CA016	QL1	H36	to	to	C	1	so te to	so te to	3	t	o	t	o	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
21	CA016	QL1	H36	ma	ma	C	1	ma re xa za	ma re xa za	4	m	a	m	a	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
22	CA016	QL1	H36	re	re	C	1	ma re xa za	ma re xa za	4	r	e	r	e	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
23	CA016	QL1	H36	xa	xa	C	1	ma re xa za	ma re xa za	4	x	a	x	a	fric	Vless	back	fric	Vless	back	1	1	1	1	1	
24	CA016	QL1	H36	za	za	C	1	ma re xa za	ma re xa za	4	z	a	z	a	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
25	CA016	QL1	H36	nu	nu	C	1	nu me ro	nu me ro	3	n	u	n	u	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
26	CA016	QL1	H36	me	me	C	1	nu me ro	nu me ro	3	m	e	m	e	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
27	CA016	QL1	H36	ro	ro	C	1	nu me ro	nu me ro	3	r	o	r	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
28	CA016	QL1	H36	ka	ka	C	1	ka pi tu lo	ka pi tu lo	4	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
29	CA016	QL1	H36	pi	pi	C	1	ka pi tu lo	ka pi tu lo	4	p	i	p	i	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
30	CA016	QL1	H36	tu	tu	C	1	ka pi tu lo	ka pi tu lo	4	t	u	t	u	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
31	CA016	QL1	H36	lo	lo	C	1	ka pi tu lo	ka pi tu lo	4	l	o	l	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
32	CA016	QL1	H36	bi	bi	C	1	bi ka	bi ka	2	b	i	b	i	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
33	CA016	QL1	H36	ka	ka	C	1	bi ka	bi ka	2	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
34	CA016	QL1	H36	ba	ba	C	1	ba fe	ba fe	2	b	a	b	a	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
35	CA016	QL1	H36	fe	fe	C	1	ba fe	ba fe	2	f	e	f	e	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
36	CA016	QL1	H36	ti	ti	C	1	ti bo	ti bo	2	t	i	t	i	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
37	CA016	QL1	H36	bo	bo	C	1	ti bo	ti bo	2	b	o	b	o	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
38	CA016	QL1	H36	ka	ka	C	1	ka li	ka li	2	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
39	CA016	QL1	H36	li	li	C	1	ka li	ka li	2	l	i	l	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
40	CA016	QL1	H36	fo	fu	S	0	fo bo xe na	fu bo xe ma	4	f	o	f	u	fric	Vless	Frontal	fric	Vless	Frontal	1	0	1	1	1	
41	CA016	QL1	H36	bo	bo	C	1	fo bo xe na	fu bo xe ma	4	b	o	b	o	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
42	CA016	QL1	H36	xe	xe	C	1	fo bo xe na	fu bo xe ma	4	x	e	x	e	fric	Vless	back	fric	Vless	back	1	1	1	1	1	
43	CA016	QL1	H36	na	ma	S	0	fo bo xe na	fu bo xe ma	4	n	a	m	a	nas	Voiced	Coronal	nas	Voiced	Frontal	0	1	1	1	0	
44	CA016	QL1	H36	pa	pa	C	1	pa ne	pa ne	2	p	a	p	a	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
45	CA016	QL1	H36	ne	ne	C	1	pa ne	pa ne	2	n	e	n	e	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
46	CA016	QL1	H36	tu	tu	C	1	tu fo	tu fo	2	t	u	t	u	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
47	CA016	QL1	H36	fo	fo	C	1	tu fo	tu fo	2	f	o	f	o	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
48	CA016	QL1	H36	sa	sa	C	1	sa te li to	sa te li to	4	s	a	s	a	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
49	CA016	QL1	H36	te	te	C	1	sa te li to	sa te li to	4	t	e	t	e	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
50	CA016	QL1	H36	li	li	C	1	sa te li to	sa te li to	4	l	i	l	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
51	CA016	QL1	H36	to	to	C	1	sa te li to	sa te li to	4	t	o	t	o	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
52	CA016	QL1	H36	fe	fe	C	1	fe cha	fe cha	2	f	e	f	e	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
53	CA016	QL1	H36	cha	cha	C	1	fe cha	fe cha	2	ch	a	ch	a	Afic	Vless	Coronal	Afic	Vless	Coronal	1	1	1	1	1	
54	CA016	QL1	H36	pe	ze	S	0	pe ni	ze ni	2	p	e	z	e	Ocl	Vless	Frontal	fric	Vless	Coronal	0	1	0	1	0	
55	CA016	QL1	H36	ni	ni	C	1	pe ni	ze ni	2	n	i	n	i	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
56	CA016	QL1	H36	bi	bi	C	1	bi ne so	bi ne so	3	b	i	b	i	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
57	CA016	QL1	H36	ne	ne	C	1	bi ne so	bi ne so	3	n	e	n	e	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
58	CA016	QL1	H36	so	so	C	1	bi ne so	bi ne so	3	s	o	s	o	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
59	CA016	QL1	H36	ka	ka	C	1	ka ba ye te	ka ba ye te	4	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
60	CA016	QL1	H36	ba	ba	C	1	ka ba ye te	ka ba ye te	4	b	a	b	a	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
61	CA016	QL1	H36	ye	ye	C	1	ka ba ye te	ka ba ye te	4	y	e	y	e	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
62	CA016	QL1	H36	te	te	C	1	ka ba ye te	ka ba ye te	4	t	e	t	e	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
63	CA016	QL1	H36	ti	ti	C	1	ti tu lo	ti tu lo	3	t	i	t	i	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
64	CA016	QL1	H36	tu	tu	C	1	ti tu lo	ti tu lo	3	t	u	t	u	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
65	CA016	QL1	H36	lo	lo	C	1	ti tu lo	ti tu lo	3	l	o	l	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
66	CA016	QL1	H36	ko	ko	C	1	ko li za	ko li za	3	k	o	k	o	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
67	CA016	QL1	H36	li	li	C	1	ko li za	ko li za	3	l	i	l	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
68	CA016	QL1	H36	za	za	C	1	ko li za	ko li za	3	z	a	z	a	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
69	CA016	QL1	H36	ka	ka	C	1	ka rro ma do	ka rro ma do	4	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
70	CA016	QL1	H36	rro	rro	C	1	ka rro ma do	ka rro ma do	4	rr	o	rr	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
71	CA016	QL1	H36	ma	ma	C	1	ka rro ma do	ka rro ma do	4	m	a	m	a	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
72	CA016	QL1	H36	do	do	C	1	ka rro ma do	ka rro ma do	4	d	o	d	o	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
73	CA016	QL1	H36	gi	gi	C	1	gi nyo	gi nyo	2	g	i	g	i	Ocl	Voiced	back	Ocl	Voiced	back	1	1	1	1	1	
74	CA016	QL1	H36	nyo	nyo	C	1	gi nyo	gi nyo	2	ny	o	ny	o	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
75	CA016	QL1	H36	ma	ma	C	1	ma nya da	ma nya da	3	m	a	m	a	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
76	CA016	QL1	H36	nya	nya	C	1	ma nya da	ma nya da	3	ny	a	ny	a	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
77	CA016	QL1	H36	da	da	C	1	ma nya da	ma nya da	3	d	a	d	a	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
78	CA016	QL1	H36	za	za	C	1	za fe lu bi	za fe lu di	4	z	a	z	a	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
79	CA016	QL1	H36	fe	fe	C	1	za fe lu bi	za fe lu di	4	f	e	f	e	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
80	CA016	QL1	H36	lu	lu	C	1	za fe lu bi	za fe lu di	4	l	u	l	u	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
81	CA016	QL1	H36	bi	di	S	0	za fe lu bi	za fe lu di	4	b	i	d	i	Ocl	Voiced	Frontal	Ocl	Voiced	Coronal	0	1	1	1	0	
82	CA016	QL1	H36	la	la	C	1	la ro	la ro	2	l	a	l	a	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
83	CA016	QL1	H36	ro	ro	C	1	la ro	la ro	2	r	o	r	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
84	CA016	QL1	H36	zi	zi	C	1	zi ne	zi ne	2	z	i	z	i	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
85	CA016	QL1	H36	ne	ne	C	1	zi ne	zi ne	2	n	e	n	e	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
86	CA016	QL1	H36	se	se	C	1	se nyo ri ta	se nyo ri ta	4	s	e	s	e	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
87	CA016	QL1	H36	nyo	nyo	C	1	se nyo ri ta	se nyo ri ta	4	ny	o	ny	o	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
88	CA016	QL1	H36	ri	ri	C	1	se nyo ri ta	se nyo ri ta	4	r	i	r	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
89	CA016	QL1	H36	ta	ta	C	1	se nyo ri ta	se nyo ri ta	4	t	a	t	a	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
90	CA016	QL1	H36	no	no	C	1	no fe	no fe	2	n	o	n	o	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
91	CA016	QL1	H36	fe	fe	C	1	no fe	no fe	2	f	e	f	e	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
92	CA016	QL1	H36	pe	pe	C	1	pe li ku la	pe li ku la	4	p	e	p	e	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
93	CA016	QL1	H36	li	li	C	1	pe li ku la	pe li ku la	4	l	i	l	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
94	CA016	QL1	H36	ku	ku	C	1	pe li ku la	pe li ku la	4	k	u	k	u	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
95	CA016	QL1	H36	la	la	C	1	pe li ku la	pe li ku la	4	l	a	l	a	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
96	CA016	QL1	H36	mo	mo	C	1	mo de	mo de	2	m	o	m	o	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
97	CA016	QL1	H36	de	de	C	1	mo de	mo de	2	d	e	d	e	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
98	CA016	QL1	H36	ku	ku	C	1	ku xo ga	ku xo ga	3	k	u	k	u	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
99	CA016	QL1	H36	xo	xo	C	1	ku xo ga	ku xo ga	3	x	o	x	o	fric	Vless	back	fric	Vless	back	1	1	1	1	1	
100	CA016	QL1	H36	ga	ga	C	1	ku xo ga	ku xo ga	3	g	a	g	a	Ocl	Voiced	back	Ocl	Voiced	back	1	1	1	1	1	
101	CA016	QL1	H36	fu	fu	C	1	fu xo	fu xo	2	f	u	f	u	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
102	CA016	QL1	H36	xo	xo	C	1	fu xo	fu xo	2	x	o	x	o	fric	Vless	back	fric	Vless	back	1	1	1	1	1	
103	CA016	QL1	H36	se	se	C	1	se ku	se ku	2	s	e	s	e	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
104	CA016	QL1	H36	ku	ku	C	1	se ku	se ku	2	k	u	k	u	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
105	CA016	QL1	H36	to	to	C	1	to rre	to rre	2	t	o	t	o	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
106	CA016	QL1	H36	rre	rre	C	1	to rre	to rre	2	rr	e	rr	e	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
107	CA016	QL1	H36	do	do	C	1	do ze	do fe	2	d	o	d	o	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
108	CA016	QL1	H36	ze	fe	S	0	do ze	do fe	2	z	e	f	e	fric	Vless	Coronal	fric	Vless	Frontal	0	1	1	1	0	
109	CA016	QL1	H36	ba	ba	C	1	ba rre nyo	ba rre nyo	3	b	a	b	a	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
110	CA016	QL1	H36	rre	rre	C	1	ba rre nyo	ba rre nyo	3	rr	e	rr	e	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
111	CA016	QL1	H36	nyo	nyo	C	1	ba rre nyo	ba rre nyo	3	ny	o	ny	o	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
112	CA016	QL1	H36	me	me	C	1	me la ni to	me la ni to	4	m	e	m	e	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
113	CA016	QL1	H36	la	la	C	1	me la ni to	me la ni to	4	l	a	l	a	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
114	CA016	QL1	H36	ni	ni	C	1	me la ni to	me la ni to	4	n	i	n	i	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
115	CA016	QL1	H36	to	to	C	1	me la ni to	me la ni to	4	t	o	t	o	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
116	CA016	QL1	H36	pa	pa	C	1	pa le go	pa le go	3	p	a	p	a	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
117	CA016	QL1	H36	le	le	C	1	pa le go	pa le go	3	l	e	l	e	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
118	CA016	QL1	H36	go	go	C	1	pa le go	pa le go	3	g	o	g	o	Ocl	Voiced	back	Ocl	Voiced	back	1	1	1	1	1	
119	CA016	QL1	H36	pe	pe	C	1	pe no	pe no	2	p	e	p	e	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
120	CA016	QL1	H36	no	no	C	1	pe no	pe no	2	n	o	n	o	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
121	CA016	QL1	H36	xe	xe	C	1	xe ra	xe ra	2	x	e	x	e	fric	Vless	back	fric	Vless	back	1	1	1	1	1	
122	CA016	QL1	H36	ra	ra	C	1	xe ra	xe ra	2	r	a	r	a	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
123	CA016	QL1	H36	pa	pa	C	1	pa le ti ya	pa le ti ya	4	p	a	p	a	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
124	CA016	QL1	H36	le	le	C	1	pa le ti ya	pa le ti ya	4	l	e	l	e	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
125	CA016	QL1	H36	ti	ti	C	1	pa le ti ya	pa le ti ya	4	t	i	t	i	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
126	CA016	QL1	H36	ya	ya	C	1	pa le ti ya	pa le ti ya	4	y	a	y	a	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
127	CA016	QL1	H36	ka	ka	C	1	ka rro za	ka rro fa	3	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
128	CA016	QL1	H36	rro	rro	C	1	ka rro za	ka rro fa	3	rr	o	rr	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
129	CA016	QL1	H36	za	fa	S	0	ka rro za	ka rro fa	3	z	a	f	a	fric	Vless	Coronal	fric	Vless	Frontal	0	1	1	1	0	
130	CA016	QL1	H36	ma	ma	C	1	ma po	ma po	2	m	a	m	a	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
131	CA016	QL1	H36	po	po	C	1	ma po	ma po	2	p	o	p	o	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
132	CA016	QL2	H36	so	so	C	1	so ya	so ya	2	s	o	s	o	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
133	CA016	QL2	H36	ya	ya	C	1	so ya	so ya	2	y	a	y	a	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
134	CA016	QL2	H36	be	be	C	1	be ta	be ta	2	b	e	b	e	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
135	CA016	QL2	H36	ta	ta	C	1	be ta	be ta	2	t	a	t	a	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
136	CA016	QL2	H36	me	me	C	1	me ze do ta	me ze do ta	4	m	e	m	e	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
137	CA016	QL2	H36	ze	ze	C	1	me ze do ta	me ze do ta	4	z	e	z	e	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
138	CA016	QL2	H36	do	do	C	1	me ze do ta	me ze do ta	4	d	o	d	o	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
139	CA016	QL2	H36	ta	ta	C	1	me ze do ta	me ze do ta	4	t	a	t	a	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
140	CA016	QL2	H36	ko	ko	C	1	ko li ya	ko li ya	3	k	o	k	o	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
141	CA016	QL2	H36	li	li	C	1	ko li ya	ko li ya	3	l	i	l	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
142	CA016	QL2	H36	ya	ya	C	1	ko li ya	ko li ya	3	y	a	y	a	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
143	CA016	QL2	H36	bu	bu	C	1	bu de	bu de	2	b	u	b	u	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
144	CA016	QL2	H36	de	de	C	1	bu de	bu de	2	d	e	d	e	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
145	CA016	QL2	H36	mo	mo	C	1	mo ku	mo ku	2	m	o	m	o	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
146	CA016	QL2	H36	ku	ku	C	1	mo ku	mo ku	2	k	u	k	u	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
147	CA016	QL2	H36	lo	lo	C	1	lo ra	lo ra	2	l	o	l	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
148	CA016	QL2	H36	ra	ra	C	1	lo ra	lo ra	2	r	a	r	a	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
149	CA016	QL2	H36	mi	mi	C	1	mi ri za	mi ri za	3	m	i	m	i	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
150	CA016	QL2	H36	ri	ri	C	1	mi ri za	mi ri za	3	r	i	r	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
151	CA016	QL2	H36	za	za	C	1	mi ri za	mi ri za	3	z	a	z	a	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
152	CA016	QL2	H36	xe	xe	C	1	xe ta	xe ta	2	x	e	x	e	fric	Vless	back	fric	Vless	back	1	1	1	1	1	
153	CA016	QL2	H36	ta	ta	C	1	xe ta	xe ta	2	t	a	t	a	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
154	CA016	QL2	H36	bu	bu	C	1	bu fe lu	bu fe lu	3	b	u	b	u	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
155	CA016	QL2	H36	fe	fe	C	1	bu fe lu	bu fe lu	3	f	e	f	e	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
156	CA016	QL2	H36	lu	lu	C	1	bu fe lu	bu fe lu	3	l	u	l	u	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
157	CA016	QL2	H36	ma	ma	C	1	ma ri be za	ma ri ne za	4	m	a	m	a	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
158	CA016	QL2	H36	ri	ri	C	1	ma ri be za	ma ri ne za	4	r	i	r	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
159	CA016	QL2	H36	be	ne	S	0	ma ri be za	ma ri ne za	4	b	e	n	e	Ocl	Voiced	Frontal	nas	Voiced	Coronal	0	1	0	1	0	
160	CA016	QL2	H36	za	za	C	1	ma ri be za	ma ri ne za	4	z	a	z	a	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
161	CA016	QL2	H36	ma	ma	C	1	ma re xa da	ma re xa da	4	m	a	m	a	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
162	CA016	QL2	H36	re	re	C	1	ma re xa da	ma re xa da	4	r	e	r	e	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
163	CA016	QL2	H36	xa	xa	C	1	ma re xa da	ma re xa da	4	x	a	x	a	fric	Vless	back	fric	Vless	back	1	1	1	1	1	
164	CA016	QL2	H36	da	da	C	1	ma re xa da	ma re xa da	4	d	a	d	a	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
165	CA016	QL2	H36	sa	sa	C	1	sa te li te	sa te li te	4	s	a	s	a	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
